id;dia;turno;sala;posto;duracao
1;Team-oriented program web services;Tasty Metal Salad Maryland Small Rubber Computer;82388;withdrawal New Zealand Dollar;23506
2;black;Fresh;39685;Planner;60242
3;Credit Card Account;Connecticut deposit;2378;Decentralized;3125
4;Buckinghamshire morph Wooden;calculating;39063;Strategist;22800
5;Light bandwidth 24/365;Fish Data PNG;89354;Gorgeous port;50106
6;Euro Estate SCSI;Steel North Carolina payment;20240;next generation Small Wooden Soap;87505
7;Implementation Mission;Solutions Bike;81037;Licensed Tennessee Rubber;12124
8;withdrawal Christmas Island neural-net;JBOD haptic Cambridgeshire;13071;Tunisia;63016
9;Tuna content-based Web;metrics Cambridgeshire Bosnia and Herzegovina;6677;Division;11562
10;B2C;project Health Plastic;54665;Martinique extend;65297
