id;demograf;social;proc_clin;dial_enf;dial_stat;quali_stat;lab_link;gid_link;asterix_farma;asterix_gab_med
1;9112;16566;30413;35487;63688;20967;38132;87500;57343;78719
2;85626;5727;52450;29744;66875;75572;32410;61717;91566;53777
3;2643;25173;42278;7107;75396;53006;20093;43027;68822;55368
4;73343;11194;41619;98569;25321;95845;49194;43746;48061;68260
5;18216;46207;22490;36392;96817;79947;99790;79640;31917;43630
6;14150;41291;47379;86103;86852;73566;99356;60848;91690;85255
7;5494;6875;19653;36149;7507;31535;70819;133;68910;18154
8;13002;20532;37109;34831;69005;27412;82991;96800;24936;71563
9;89843;15233;73545;2591;83731;93427;38834;3958;34589;18436
10;34922;28004;20847;26267;91331;78557;89653;37912;45994;90022
