id;nome;demograf;social;proc_clin;dial_enf;dial_stat;quali_stat;lab_link;gid_link;asterix_farma;asterix_gab_med
1;Solutions;14078;7708;19075;35508;7057;77726;66507;58475;52342;15527
2;Marketing;49522;5053;54376;10526;52792;44463;19281;28524;57462;87206
3;withdrawal lavender;66754;33326;11041;86322;21158;31714;5286;9060;89457;24530
4;mission-critical;2200;77352;731;36042;23401;17648;29425;88523;76424;16764
5;static;9683;52387;84787;74227;38000;41531;38533;43302;75045;35059
6;Legacy;91769;40616;22042;83772;42735;9427;24435;94565;59015;631
7;tan Berkshire;39419;27571;56704;9486;76155;47490;58901;23595;64430;96292
8;Automotive Fantastic French Guiana;10888;6288;86524;3434;12714;14870;49219;79782;9426;37136
9;SMS Hat;46747;98415;4265;4358;90169;41344;12992;23425;31748;22502
10;Seychelles;88539;59309;99153;22679;70622;42106;66431;94917;32657;1505
